"PRODUCT_ID_MASTER","PRODUCT_NAME_MASTER","UNIT_PRICE_MASTER","TRANSACTION_ID","TRANSACTION_DATE","PRODUCT_NAME","QUANTITY","UNIT_PRICE","TOTAL_PRICE","SIMILARITY"
"P001","ソニー BRAVIA KJ-55X9500G",150000,"E000001","2023-01-01","ソニー  BRAVIA  KJ-55X9500G＜半額セール＞",2,150000,300000,0.9934214942
"P002","パナソニック VIERA TH-55FX700M",120000,"E000002","2023-02-02","パナソニック VIERA TH55FX700M[期間限定]",3,120000,360000,0.9583651734
"P003","シャープ AQUOS 4T KJ-55X7000",110000,"E000003","2023-03-03","シャープ AQUOS 4T KJ-55X7000（ネット）【期間限定】",4,110000,440000,0.9810491812
"P004","日清カップヌードル",200,"E000004","2023-04-04","日清 カップヌードル（期間限定）",5,200,1000,1
"P005","キリン一番挿りビール",400,"E000005","2023-05-05","キリン  一番搾りビール（期間限定）",1,400,400,0.9540843964
"P006","花王アタック洗剤",800,"E000006","2023-06-06","アタック洗剤[期間限定]",2,800,1600,0.999999702
"P007","ユニクロヒートテックTシャツ",1500,"E000007","2023-07-07","ﾕﾆｸﾛ ﾋｰﾄﾃッｸTｼャﾂ（ﾈッﾄ）[期間限定]",3,1500,4500,1
"P052","無印良品リネンシャツ",2800,"E000008","2023-08-08","無印良品 オーガニックコットンシャツ[期間限定]",4,2500,10000,0.9252262756
"P008","無印良品オーガニックコットンシャツ",2500,"E000008","2023-08-08","無印良品 オーガニックコットンシャツ[期間限定]",4,2500,10000,1
"P009","パイロットフリクションボールペン",100,"E000009","2023-09-09","パイロット  フリクションボールペン［半額セール］",5,100,500,1
"P062","パイロットフリクションペン",130,"E000009","2023-09-09","パイロット  フリクションボールペン［半額セール］",5,100,500,0.9776494476
"P073","タカラトミー ウルトラマンフィギュア",3000,"E000010","2023-10-10","タカラトミー ガンダムフィギュア[期間限定]",1,3000,3000,0.9230620861
"P010","タカラトミー ガンダムフィギュア",3000,"E000010","2023-10-10","タカラトミー ガンダムフィギュア[期間限定]",1,3000,3000,0.9843309522
"P011","東芝 REGZA 43532",70000,"E000011","2023-11-11","東芝 ＲＥＧＺＡ ４３Ｓ３２（ネット）＜半額セール＞",2,70000,140000,0.9476086811
"P012","明治 ミルクチョコレート",150,"E000012","2023-12-12","ミルクチョコレート［半額セール］",3,150,450,0.9999993443
"P039","ロッテガーナミルクチョコレート",180,"E000012","2023-12-12","ミルクチョコレート［半額セール］",3,150,450,0.9080526288
"P013","ライオン レノアハピネス",500,"E000013","2023-01-13","ライオン  レノアハピネス【半額セール】",4,500,2000,0.9764359593
"P014","三菱エアコン MSZ-GV3519",90000,"E000014","2023-02-14","三菱ｴｱｺﾝ MSZGV3519＜期間限定＞",5,90000,450000,0.9756042376
"P015","森永エンゼルパイ",300,"E000015","2023-03-15","森永 エンゼルパイ（ネット）【期間限定】",1,300,300,1
"P016","日立 4 Kスマートテレビ",80000,"E000016","2023-04-16","日立 4Kスマートテレビ[期間限定]",2,80000,160000,0.9795356685
"P017","パナソニック 4 Kプロジェクター",130000,"E000017","2023-05-17","パナソニック  4Kプロジェクター[期間限定]",3,130000,390000,0.9715064764
"P018","シャープ加湿器 HX-50",15000,"E000018","2023-06-18","加湿器 HX50[半額セール]",4,15000,60000,0.9917040457
"P019","ソニーワイヤレスヘッドホンWH-1000XM4",90000,"E000019","2023-07-19","ソニー ワイヤレスヘッドホン WH-1000XM4（ネット）＜期間限定＞",5,90000,450000,1
"P020","パナソニック 掃除機 MC-CL883",75000,"E000020","2023-08-20","パナソニック 掃除機 mc-cl883＜半額セール＞",1,75000,75000,0.9941212531
"P021","東芝ノンフロン冷蔵庫",85000,"E000021","2023-09-21","東芝  ﾉﾝﾌﾛﾝ冷蔵庫（半額セール）",2,85000,170000,1
"P022","日立 ドラム式洗濯機",100000,"E000022","2023-10-22","日立 ドラム式洗濯機【期間限定】",3,100000,300000,0.9877087481
"P023","パナソニック エアコン CS-XE",95000,"E000023","2023-11-23","パナソニック エアコン CS-XE（ネット）【半額セール】",4,95000,380000,0.9903806147
"P024","ソニー デジタルカメラ a 7 III",200000,"E000024","2023-12-24","デジタルカメラ α7 III[半額セール]",5,200000,1000000,0.9496273711
"P025","キヤノン EOS R6",230000,"E000025","2023-01-25","キヤノン  eos  r6【半額セール】",1,230000,230000,0.9563602831
"P026","富士通ノートパソコン FMV",80000,"E000026","2023-02-26","富士通 ノートパソコン FMV[半額セール]",2,80000,160000,0.991511136
"P027","NEC ValueBook",85000,"E000027","2023-03-27","NEC ValueBook（ネット）【期間限定】",3,85000,255000,0.9497967899
"P028","オリンパス OM-D E-M10",120000,"E000028","2023-04-28","ｵﾘﾝパｽ OM-D E-M10【半額セール】",4,120000,480000,0.9600941253
"P029","キャノン PIXMA IX6820",25000,"E000029","2023-05-01","キャノン  PIXMA  iX6820【期間限定】",5,25000,125000,0.9569397594
"P030","エプソンエコタンク ET-2750",35000,"E000030","2023-06-02","エコタンク et2750（半額セール）",1,35000,35000,0.9882999364
"P031","リコーIM C200",40000,"E000031","2023-07-03","リコー IM C200（ネット）（半額セール）",2,40000,80000,0.946146617
"P032","京セラ DS-300",45000,"E000032","2023-08-04","京セラ DS-300＜期間限定＞",3,45000,135000,0.990211187
"P033","日清どん兵衛",220,"E000033","2023-09-05","日清  どん兵衛＜半額セール＞",4,220,880,1
"P034","サントリーザ・プレミアムモルツ",500,"E000034","2023-10-06","サントリー ザ・プレミアムモルツ[閉店セール]",5,500,2500,1
"P035","ヤクルト 1000",250,"E000035","2023-11-07","ﾔｸﾙﾄ 1000（ﾈッﾄ）［期間限定］",1,250,250,0.9834989896
"P036","ハウス食品カレールウ",300,"E000036","2023-12-08","カレールウ＜半額セール＞",2,300,600,1
"P037","マルちゃん正鐘",250,"E000037","2023-01-09","マルちゃん  正麺[期間限定]",3,250,750,0.9234383702
"P038","江崎グリコポッキー",150,"E000038","2023-02-10","江崎グリコ ポッキー［半額セール］",4,150,600,1
"P039","ロッテガーナミルクチョコレート",180,"E000039","2023-03-11","ロッテ ガーナミルクチョコレート（ネット）［半額セール］",5,180,900,1
"P040","クラシエサッポロ一番",210,"E000040","2023-04-12","クラシエ サッポロ一番［半額セール］",1,210,210,1
"P041","カゴメトマトジュース",180,"E000041","2023-05-13","カゴメ  トマトジュース［半額セール］",2,180,360,1
"P042","ユニ・チャームソフィ",350,"E000042","2023-06-14","ｿﾌィ[閉店セール]",3,350,1050,1
"P043","P&G; アリエール洗濯洗剤",800,"E000043","2023-07-15","P&G アリエール洗濯洗剤（ネット）＜半額セール＞",4,800,3200,0.9800222528
"P044","資生堂 TSUBAKIシャンプー",1200,"E000044","2023-08-16","資生堂 ＴＳＵＢＡＫＩシャンプー【半額セール】",5,1200,6000,0.9974057678
"P045","大正製薬サロンバス",400,"E000045","2023-09-17","大正製薬  サロンパス＜半額セール＞",1,400,400,0.9595024586
