"PRODUCT_ID_MASTER","PRODUCT_NAME_MASTER","UNIT_PRICE_MASTER","TRANSACTION_ID","TRANSACTION_DATE","PRODUCT_NAME","QUANTITY","UNIT_PRICE","TOTAL_PRICE","SIMILARITY"
"P001","ソニー BRAVIA KJ-55X9500G",150000,"R000001","2023-01-01","ソニーBRAVIAKJ-55X9500G［期間限定］",2,150000,300000,0.9934214942
"P002","パナソニック VIERA TH-55FX700M",120000,"R000002","2023-02-02","パナソニック VIERA TH-55FX700M【店頭】＜期間限定＞",3,120000,360000,0.9617207956
"P003","シャープ AQUOS 4T KJ-55X7000",110000,"R000003","2023-03-03","シャープ AQUOS 4T KJ-55X7000[半額セール]",4,110000,440000,0.9810491812
"P004","日清カップヌードル",200,"R000004","2023-04-04","日清カップヌードル［期間限定］",5,200,1000,1
"P005","キリン一番挿りビール",400,"R000005","2023-05-05","キリン 一番搾りビール【店頭】＜半額セール＞",1,400,400,0.9540843964
"P006","花王アタック洗剤",800,"R000006","2023-06-06","アタック洗剤（期間限定）",2,800,1600,0.999999702
"P007","ユニクロヒートテックTシャツ",1500,"R000007","2023-07-07","ﾕﾆｸﾛﾋｰﾄﾃッｸTｼャﾂ[半額セール]",3,1500,4500,1
"P052","無印良品リネンシャツ",2800,"R000008","2023-08-08","無印良品 オーガニックコットンシャツ【店頭】［期間限定］",4,2500,10000,0.9252262756
"P008","無印良品オーガニックコットンシャツ",2500,"R000008","2023-08-08","無印良品 オーガニックコットンシャツ【店頭】［期間限定］",4,2500,10000,1
"P009","パイロットフリクションボールペン",100,"R000009","2023-09-09","パイロット フリクションボールペン【閉店セール】",5,100,500,1
"P062","パイロットフリクションペン",130,"R000009","2023-09-09","パイロット フリクションボールペン【閉店セール】",5,100,500,0.9776494476
"P073","タカラトミー ウルトラマンフィギュア",3000,"R000010","2023-10-10","タカラトミーガンダムフィギュア【期間限定】",1,3000,3000,0.9230620861
"P010","タカラトミー ガンダムフィギュア",3000,"R000010","2023-10-10","タカラトミーガンダムフィギュア【期間限定】",1,3000,3000,0.9843309522
"P011","東芝 REGZA 43532",70000,"R000011","2023-11-11","東芝 ＲＥＧＺＡ ４３Ｓ３２【店頭】【半額セール】",2,70000,140000,0.9476086811
"P012","明治 ミルクチョコレート",150,"R000012","2023-12-12","ミルクチョコレート[期間限定]",3,150,450,0.9999993443
"P039","ロッテガーナミルクチョコレート",180,"R000012","2023-12-12","ミルクチョコレート[期間限定]",3,150,450,0.9080526288
"P013","ライオン レノアハピネス",500,"R000013","2023-01-13","ライオンレノアハピネス【半額セール】",4,500,2000,0.9764359593
"P014","三菱エアコン MSZ-GV3519",90000,"R000014","2023-02-14","三菱ｴｱｺﾝ MSZ-GV3519【店頭】＜期間限定＞",5,90000,450000,0.9982088208
"P015","森永エンゼルパイ",300,"R000015","2023-03-15","森永 エンゼルパイ＜半額セール＞",1,300,300,1
"P016","日立 4 Kスマートテレビ",80000,"R000016","2023-04-16","日立4Kスマートテレビ【期間限定】",2,80000,160000,0.9795356685
"P017","パナソニック 4 Kプロジェクター",130000,"R000017","2023-05-17","パナソニック 4Kプロジェクター【店頭】（半額セール）",3,130000,390000,0.9715064764
"P018","シャープ加湿器 HX-50",15000,"R000018","2023-06-18","加湿器 HX-50［期間限定］",4,15000,60000,0.9985925258
"P019","ソニーワイヤレスヘッドホンWH-1000XM4",90000,"R000019","2023-07-19","ソニーワイヤレスヘッドホンWH-1000XM4[半額セール]",5,90000,450000,1
